longitude,latitude,COARSE,CEC_CLAY,ELEC_COND_log,ORG_CARBON_log,TEB_log,GYPSUM_log,REF_BULK_log,TEXTURE_USDA_encoded,TEXTURE_SOTER_encoded
7.85416666666692,35.35416666666665,9.0,83.0,2.0794415416798357,2.026699828662461,3.784189633918261,2.332143890606103,0.9631743195929946,1,3
6.00416666666692,35.26249999999998,4.0,72.0,2.0794415416798357,2.0447206887046048,3.7612001156935624,2.2192034892380073,0.9969486489679832,5,3
-0.9958333333330768,33.13749999999998,18.0,35.0,2.0794415416798357,2.0426478841282676,2.833213344056216,1.9878743497873494,0.940007236139729,1,1
8.71250000000025,34.24583333333332,2.0,37.0,2.1972245773362196,2.005391258853858,4.836281906951478,4.168214387168139,0.9631743195929946,1,3
0.2375000000002565,35.954166666666644,5.0,34.0,2.0794415416798357,2.189416389014714,3.1780538303479458,2.151762206031771,1.064710728771098,4,2
7.3875000000002515,35.54583333333331,12.0,67.0,2.0794415416798357,2.0408306382775585,3.8066624897703196,1.9740810264359308,0.9858167749510908,5,3
5.0458333333335865,32.22083333333332,12.0,67.0,2.0794415416798357,2.0408306382775585,3.8066624897703196,1.9740810264359308,0.9858167749510908,5,3
-0.5624999999997442,34.31249999999998,3.0,71.0,2.1972245773362196,2.0405707663613355,3.8066624897703196,2.0281482504293717,0.9969486489679832,5,3
7.962500000000251,32.20416666666665,-4.0,-4.0,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,0.9895412148852936,4,0
8.420833333333587,35.26249999999998,4.0,72.0,2.0794415416798357,2.0447206887046048,3.7612001156935624,2.2192034892380073,0.9969486489679832,5,3
7.070833333333587,33.304166666666646,-4.0,-4.0,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,0.9895412148852936,4,0
-0.3624999999997431,32.04583333333332,12.0,67.0,2.0794415416798357,2.0408306382775585,3.8066624897703196,1.9740810264359308,0.9858167749510908,5,3
5.00416666666692,34.42083333333331,12.0,67.0,2.0794415416798357,2.0408306382775585,3.8066624897703196,1.9740810264359308,0.9858167749510908,5,3
7.470833333333587,35.18749999999998,8.691126828484167,56.93401382414403,2.1386468108611765,2.025902448962974,3.7821325298320865,2.3284281447258133,0.9954490085793762,4,0
0.1708333333335883,35.804166666666646,5.0,34.0,2.0794415416798357,2.189416389014714,3.1780538303479458,2.151762206031771,1.064710728771098,4,2
4.537500000000254,35.93749999999998,5.0,48.0,2.0794415416798357,2.0997342491529234,3.8066624897703196,2.208274403042867,1.0402767268195787,4,3
7.6375000000002515,32.687499999999986,-4.0,-4.0,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,0.9895412148852936,4,0
6.312500000000252,33.62083333333332,-4.0,-4.0,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,0.9895412148852936,4,0
5.237500000000253,33.679166666666646,12.0,67.0,2.0794415416798357,2.0408306382775585,3.8066624897703196,1.9740810264359308,0.9858167749510908,5,3
10.55416666666692,32.462499999999984,21.0,59.0,2.0794415416798357,2.0265680520099267,3.4965075614664802,1.9878743497873494,0.9745596310012032,1,3
9.937500000000252,33.37916666666665,21.0,59.0,2.0794415416798357,2.0265680520099267,3.4965075614664802,1.9878743497873494,0.9745596310012032,1,3
8.954166666666918,34.25416666666665,2.0,37.0,2.1972245773362196,2.005391258853858,4.836281906951478,4.168214387168139,0.9631743195929946,1,3
11.262500000000252,32.50416666666665,9.0,52.0,1.9459101490553132,1.981690885678898,2.9444389791664403,1.9600947842571452,0.8501509436339694,2,1
3.87916666666692,34.82916666666665,12.0,67.0,2.0794415416798357,2.0408306382775585,3.8066624897703196,1.9740810264359308,0.9858167749510908,5,3
5.320833333333587,34.74583333333332,12.0,67.0,2.0794415416798357,2.0408306382775585,3.8066624897703196,1.9740810264359308,0.9858167749510908,5,3
1.9208333333335883,34.56249999999998,4.0,47.0,2.1972245773362196,2.0094213598178117,4.770684624465665,3.826465150310048,0.9783261102452614,5,3
4.1708333333335865,36.57083333333331,5.0,48.0,2.0794415416798357,2.0997342491529234,3.8066624897703196,2.208274403042867,1.0402767268195787,4,3
6.012500000000253,33.837499999999984,4.0,47.0,2.1972245773362196,2.0094213598178117,4.770684624465665,3.826465150310048,0.9783261102452614,5,3
-2.0041666666664097,32.062499999999986,18.0,35.0,2.0794415416798357,2.0426478841282676,2.833213344056216,1.9878743497873494,0.940007236139729,1,1
1.762500000000255,32.812499999999986,12.0,67.0,2.0794415416798357,2.0408306382775585,3.8066624897703196,1.9740810264359308,0.9858167749510908,5,3
8.937500000000252,34.72916666666665,21.0,59.0,2.0794415416798357,2.0265680520099267,3.4965075614664802,1.9878743497873494,0.9745596310012032,1,3
2.895833333333588,32.27916666666665,12.0,67.0,2.0794415416798357,2.0408306382775585,3.8066624897703196,1.9740810264359308,0.9858167749510908,5,3
9.387500000000252,34.22083333333332,6.0,45.0,2.0794415416798357,2.102058827699314,3.091042453358316,1.9459101490553132,1.0473190026461232,0,3
4.12916666666692,32.99583333333332,3.0,71.0,2.1972245773362196,2.0405707663613355,3.8066624897703196,2.0281482504293717,0.9969486489679832,5,3
4.970833333333587,34.28749999999998,12.0,67.0,2.0794415416798357,2.0408306382775585,3.8066624897703196,1.9740810264359308,0.9858167749510908,5,3
9.762500000000252,36.87916666666665,19.0,48.0,2.0794415416798357,2.3052814495960354,3.58351893845611,1.9878743497873494,1.0331844629825016,5,3
8.21250000000025,34.304166666666646,18.0,71.0,1.9459101490553132,2.034444175998492,3.6375861597263857,1.9740810264359308,0.9820784563389954,1,3
