max_depth,num_thresholds,min_samples_split,min_samples_leaf,train_time_sec,accuracy,f1_score,precision
6,10,5,2,5.444143772125244,0.8100824562579607,0.808734676063315,0.8189292611494584
6,10,5,5,5.71541953086853,0.8100824562579607,0.808734676063315,0.8189292611494584
6,10,5,8,5.854837656021118,0.8100377645192286,0.8086882209768733,0.8188930539723016
6,10,10,2,5.26410436630249,0.8100377645192286,0.8086882209768733,0.8188930539723016
6,10,10,5,6.271308898925781,0.8100377645192286,0.8086882209768733,0.8188930539723016
6,10,10,8,5.266508340835571,0.8100377645192286,0.8086882209768733,0.8188930539723016
6,10,15,2,6.391132116317749,0.8100377645192286,0.8086882209768733,0.8188930539723016
6,10,15,5,5.3158485889434814,0.8100377645192286,0.8086882209768733,0.8188930539723016
6,10,15,8,5.613502502441406,0.8100377645192286,0.8086882209768733,0.8188930539723016
6,20,5,2,10.24228835105896,0.8671984983575786,0.8670810384909823,0.8684476396026976
6,20,5,5,10.545331239700317,0.8671984983575786,0.8670810384909823,0.8684476396026976
6,20,5,8,11.635966062545776,0.8671984983575786,0.8670810384909823,0.8684476396026976
6,20,10,2,10.484039068222046,0.8671761524882126,0.8670588495993485,0.8684232923293641
6,20,10,5,10.698157548904419,0.8671761524882126,0.8670588495993485,0.8684232923293641
6,20,10,8,10.35479187965393,0.8671761524882126,0.8670588495993485,0.8684232923293641
6,20,15,2,10.552162408828735,0.8672208442269447,0.8671025187115758,0.8684797045839764
6,20,15,5,10.62143087387085,0.8672208442269447,0.8671025187115758,0.8684797045839764
6,20,15,8,9.78218388557434,0.8672208442269447,0.8671025187115758,0.8684797045839764
6,30,5,2,15.13030457496643,0.8689861679068625,0.868935233522053,0.8695255391754002
6,30,5,5,15.288299322128296,0.8689861679068625,0.868935233522053,0.8695255391754002
6,30,5,8,14.945877075195312,0.8689861679068625,0.8689350021396467,0.8695280699012449
6,30,10,2,14.976349115371704,0.8689861679068625,0.8689350021396467,0.8695280699012449
6,30,10,5,14.886561632156372,0.8689861679068625,0.8689350021396467,0.8695280699012449
6,30,10,8,14.953332424163818,0.8689861679068625,0.8689350021396467,0.8695280699012449
6,30,15,2,14.657622337341309,0.8690085137762285,0.8689574724729414,0.869549183629205
6,30,15,5,14.65217137336731,0.8690085137762285,0.8689574724729414,0.869549183629205
6,30,15,8,14.514592170715332,0.8690085137762285,0.8689574724729414,0.869549183629205
8,10,5,2,8.802124500274658,0.884672968201828,0.8845493526926869,0.8862674148418213
8,10,5,5,8.390886306762695,0.884672968201828,0.8845493526926869,0.8862674148418213
8,10,5,8,8.038090944290161,0.8845165471162656,0.8843908949216315,0.8861349223761718
8,10,10,2,8.846354961395264,0.8847400058099261,0.884616631043519,0.8863325088545392
8,10,10,5,7.722507476806641,0.8847400058099261,0.884616631043519,0.8863325088545392
8,10,10,8,8.865558385848999,0.8847400058099261,0.884616631043519,0.8863325088545392
8,10,15,2,8.627219438552856,0.884672968201828,0.8845483363457227,0.8862808098706035
